feature_category_id,feature_value_id,value_num
-1,"[0, 1]",2
1,[461],1
2,"[53, 841, 56, 851, 310, 853, 104, 343, 695, 83, 208, 442, 139, 684, 514]",15
3,"[793, 889, 569, 645]",4
4,"[618, 719, 743, 505, 862, 385, 331, 304, 865, 635, 214, 280, 571, 372, 637]",15
5,"[605, 58, 529, 146, 472, 225, 160, 650, 396, 257, 542]",11
6,"[399, 877, 778, 539, 766, 124, 84, 860]",8
7,"[837, 798, 536, 619, 452, 394, 28, 490, 82, 2, 777, 276, 838, 284, 170, 414, 207, 398, 46, 836, 221, 329, 492, 797, 298, 315, 652, 629, 463, 794, 528, 78]",32
8,"[323, 636, 420, 157]",4
9,"[175, 190, 369]",3
10,"[724, 287, 732, 631, 871, 147, 407, 159, 361, 789, 184, 464, 561]",13
11,"[735, 109, 859, 676, 308, 422, 513, 691, 602, 854, 572, 633, 357]",13
12,"[438, 410, 812, 366, 699, 565]",6
13,[698],1
14,"[307, 179, 570, 57, 563, 786, 754, 821, 857, 651, 67, 468]",12
15,"[133, 584, 451, 26, 548, 367, 656, 18]",8
17,"[378, 100, 339, 614]",4
18,"[289, 817, 79, 158, 577, 604]",6
19,"[148, 700, 668, 765, 112, 33, 769, 292, 723, 254, 500, 302, 628, 545, 119, 5, 347, 711, 487, 774, 458, 232, 675, 288, 696, 431]",26
20,"[342, 251, 412]",3
21,"[224, 24, 353, 430, 657, 345, 296, 250, 348, 418, 664, 890, 601]",13
22,"[881, 270]",2
23,"[510, 65]",2
24,"[189, 588]",2
25,"[850, 687, 376]",3
26,"[268, 113, 400, 346, 507, 44, 126, 13, 727, 600, 168, 553, 779, 591, 68, 677, 77, 750, 66]",19
28,"[437, 70, 282, 415, 182, 34]",6
29,"[123, 386, 277, 729, 162]",5
30,"[564, 482, 194, 478, 847, 715]",6
31,"[768, 713, 183, 306]",4
32,"[902, 286, 522, 352, 101]",5
33,"[764, 96, 873, 171, 36, 733, 802, 211, 530]",9
34,"[734, 275, 237]",3
35,"[272, 318, 370, 397, 17, 667]",6
36,"[858, 824, 830, 678]",4
37,"[469, 443, 245, 45]",4
38,"[138, 818, 693, 421, 440, 261, 320]",7
39,"[731, 795, 125, 772, 389]",5
40,"[717, 449, 576, 144, 433, 526, 49, 193]",8
41,"[151, 181, 759, 210, 826, 145, 200, 368, 322]",9
42,"[409, 781, 682]",3
43,"[788, 473, 894, 384, 321]",5
44,"[556, 515, 174, 615, 51, 509, 547, 475, 4, 73, 839, 220, 319, 870, 140, 61, 269, 725, 85, 621, 32, 236, 718]",23
45,"[559, 52, 773, 899, 681, 177, 491, 782]",8
46,"[825, 783, 882]",3
47,"[218, 549, 516, 36, 512, 123, 96, 690, 884, 520, 273, 165, 242, 842, 720, 603]",16
48,"[354, 326, 404]",3
49,"[465, 806, 611, 485, 25, 341, 132]",7
50,"[317, 240, 901, 130, 708, 283, 328, 76, 128, 737, 212, 164, 195, 643, 552]",15
51,"[597, 625, 457, 186, 893, 540, 897, 300, 624, 533]",10
52,"[227, 756, 495, 293, 728]",5
53,"[707, 6, 444, 155, 680]",5
54,[785],1
55,"[267, 704, 401, 823, 683, 845, 692, 770, 129, 93, 632, 448, 43, 673, 35, 374, 803, 229, 810, 314, 230, 471, 95, 834, 390, 855, 746, 674, 546, 359, 324, 265, 110, 833, 166, 849, 185, 105, 537, 167, 439, 201, 152, 703, 874, 543, 535, 879]",48
56,"[365, 161, 194, 239, 761, 868, 460, 153, 89, 792, 337, 757, 436, 741, 791, 541, 450]",17
57,"[135, 623, 811, 233, 12, 47, 278, 574, 534, 488]",10
58,"[299, 634]",2
59,"[180, 856, 387, 98, 815, 356, 255]",7
60,"[758, 831, 3, 796, 243, 814, 587, 388, 647, 872, 590, 205, 238]",13
61,"[462, 706, 898, 808, 59]",5
62,"[801, 15, 896]",3
63,"[861, 816, 672, 518, 742, 202, 599, 595, 840, 142, 169, 39, 620, 290, 593, 187, 294, 483, 55, 800]",20
64,"[762, 80, 27, 188, 722]",5
65,"[521, 610, 550, 122, 11, 454, 579, 199, 583]",9
66,"[776, 886, 264]",3
67,"[349, 382, 566, 20, 72, 504, 92, 16, 456, 86, 608, 716, 755]",13
68,"[373, 351, 222, 103, 739, 895, 335, 425, 531, 744, 745, 10, 14, 596, 799, 875, 662, 383, 702, 31, 379, 403, 445, 441, 767, 279, 106, 659, 479, 498, 204, 864, 679, 216, 393, 726, 97, 474, 156, 120, 40, 903, 784, 555, 476, 524, 502]",47
69,"[538, 592, 805, 780, 885, 740, 639, 499, 362, 709, 694, 116, 573, 822, 416, 262, 511, 446, 434, 338, 333, 316, 248, 30]",24
70,"[213, 81, 108, 134, 88, 63]",6
71,"[226, 99, 41, 904, 477, 405, 848]",7
72,"[75, 649, 219, 7, 263, 568, 748, 455, 381, 557, 829, 371, 655, 747, 883, 712, 751, 486, 234, 215, 209]",21
73,"[544, 91]",2
